product_id,handle,title,variant_id,variant_title,price,compare_at_price
14928457204084,the-last-ronin-154-teenage-mutant-ninja-turtles-non-foil,The Last Ronin [154] [Teenage Mutant Ninja Turtles] [Non-Foil],53880815386996,PL,0.00,
14928457171316,the-last-ronin-154-teenage-mutant-ninja-turtles-foil,The Last Ronin [154] [Teenage Mutant Ninja Turtles] [Foil],53880815419764,NM,7.99,7.99
14928457171316,the-last-ronin-154-teenage-mutant-ninja-turtles-foil,The Last Ronin [154] [Teenage Mutant Ninja Turtles] [Foil],53880815452532,PL,0.00,
14928456712564,transdimensional-bovine-134-teenage-mutant-ninja-turtles-non-foil,Transdimensional Bovine [134] [Teenage Mutant Ninja Turtles] [Non-Foil],53880814436724,NM,3.99,3.99
14928456712564,transdimensional-bovine-134-teenage-mutant-ninja-turtles-non-foil,Transdimensional Bovine [134] [Teenage Mutant Ninja Turtles] [Non-Foil],53880814469492,PL,0.00,
14928456679796,transdimensional-bovine-134-teenage-mutant-ninja-turtles-foil,Transdimensional Bovine [134] [Teenage Mutant Ninja Turtles] [Foil],53880814371188,NM,4.99,4.99
14928456679796,transdimensional-bovine-134-teenage-mutant-ninja-turtles-foil,Transdimensional Bovine [134] [Teenage Mutant Ninja Turtles] [Foil],53880814403956,PL,0.00,
14953005810036,shredders-technique-77-teenage-mutant-ninja-turtles-non-foil,Shredder's Technique [77] [Teenage Mutant Ninja Turtles] [Non-Foil],53932883902836,NM,0.99,0.99
14953005810036,shredders-technique-77-teenage-mutant-ninja-turtles-non-foil,Shredder's Technique [77] [Teenage Mutant Ninja Turtles] [Non-Foil],53932883935604,PL,0.00,
14953005449588,shredders-technique-77-teenage-mutant-ninja-turtles-foil,Shredder's Technique [77] [Teenage Mutant Ninja Turtles] [Foil],53932882788724,NM,0.99,0.99
14953005449588,shredders-technique-77-teenage-mutant-ninja-turtles-foil,Shredder's Technique [77] [Teenage Mutant Ninja Turtles] [Foil],53932882821492,PL,0.00,
14953000534388,swamp-193-full-art-rooftop-basic-land-teenage-mutant-ninja-turtles-non-foil,Swamp [193] [Full Art] [Rooftop Basic Land] [Teenage Mutant Ninja Turtles] [Non-Foil],53932872860020,NM,0.99,0.99
14953000534388,swamp-193-full-art-rooftop-basic-land-teenage-mutant-ninja-turtles-non-foil,Swamp [193] [Full Art] [Rooftop Basic Land] [Teenage Mutant Ninja Turtles] [Non-Foil],53932872892788,PL,0.00,
14953000042868,spicy-oatmeal-pizza-109-teenage-mutant-ninja-turtles-non-foil,Spicy Oatmeal Pizza [109] [Teenage Mutant Ninja Turtles] [Non-Foil],53932872008052,NM,0.49,0.49
14953000042868,spicy-oatmeal-pizza-109-teenage-mutant-ninja-turtles-non-foil,Spicy Oatmeal Pizza [109] [Teenage Mutant Ninja Turtles] [Non-Foil],53932872040820,PL,0.00,
14928462020980,savanti-romero-times-exile-72-teenage-mutant-ninja-turtles-foil,"Savanti Romero, Time's Exile [72] [Teenage Mutant Ninja Turtles] [Foil]",53880823906676,NM,4.99,4.99
14928462020980,savanti-romero-times-exile-72-teenage-mutant-ninja-turtles-foil,"Savanti Romero, Time's Exile [72] [Teenage Mutant Ninja Turtles] [Foil]",53880823939444,PL,0.00,
14928461758836,savanti-romero-times-exile-72-teenage-mutant-ninja-turtles-non-foil,"Savanti Romero, Time's Exile [72] [Teenage Mutant Ninja Turtles] [Non-Foil]",53880823611764,NM,3.99,3.99
14928461758836,savanti-romero-times-exile-72-teenage-mutant-ninja-turtles-non-foil,"Savanti Romero, Time's Exile [72] [Teenage Mutant Ninja Turtles] [Non-Foil]",53880823644532,PL,0.00,
14928461169012,super-shredder-83-teenage-mutant-ninja-turtles-non-foil,Super Shredder [83] [Teenage Mutant Ninja Turtles] [Non-Foil],53880822923636,NM,44.99,44.99
14928461169012,super-shredder-83-teenage-mutant-ninja-turtles-non-foil,Super Shredder [83] [Teenage Mutant Ninja Turtles] [Non-Foil],53880822956404,PL,0.00,
14928460644724,super-shredder-83-teenage-mutant-ninja-turtles-foil,Super Shredder [83] [Teenage Mutant Ninja Turtles] [Foil],53880822006132,NM,54.99,54.99
14928460644724,super-shredder-83-teenage-mutant-ninja-turtles-foil,Super Shredder [83] [Teenage Mutant Ninja Turtles] [Foil],53880822038900,PL,0.00,
14928460579188,south-wind-avatar-78-teenage-mutant-ninja-turtles-non-foil,South Wind Avatar [78] [Teenage Mutant Ninja Turtles] [Non-Foil],53880821776756,NM,4.99,4.99
14928460579188,south-wind-avatar-78-teenage-mutant-ninja-turtles-non-foil,South Wind Avatar [78] [Teenage Mutant Ninja Turtles] [Non-Foil],53880821809524,PL,0.00,
14928458711412,swamp-255-full-art-pizza-basic-land-teenage-mutant-ninja-turtles-non-foil,Swamp [255] [Full Art] [Pizza Basic Land ] [Teenage Mutant Ninja Turtles] [Non-Foil],53880818499956,NM,0.99,0.99
14928458711412,swamp-255-full-art-pizza-basic-land-teenage-mutant-ninja-turtles-non-foil,Swamp [255] [Full Art] [Pizza Basic Land ] [Teenage Mutant Ninja Turtles] [Non-Foil],53880818532724,PL,0.00,
14928457859444,splinter-radical-rat-169-teenage-mutant-ninja-turtles-non-foil,"Splinter, Radical Rat [169] [Teenage Mutant Ninja Turtles] [Non-Foil]",53880816664948,NM,5.99,5.99
14928457859444,splinter-radical-rat-169-teenage-mutant-ninja-turtles-non-foil,"Splinter, Radical Rat [169] [Teenage Mutant Ninja Turtles] [Non-Foil]",53880816697716,PL,0.00,
14953004761460,shredders-revenge-76-teenage-mutant-ninja-turtles-non-foil,Shredder's Revenge [76] [Teenage Mutant Ninja Turtles] [Non-Foil],53932881248628,NM,0.49,0.49
14953004761460,shredders-revenge-76-teenage-mutant-ninja-turtles-non-foil,Shredder's Revenge [76] [Teenage Mutant Ninja Turtles] [Non-Foil],53932881281396,PL,0.00,
14953000501620,swamp-193-full-art-rooftop-basic-land-teenage-mutant-ninja-turtles-foil,Swamp [193] [Full Art] [Rooftop Basic Land] [Teenage Mutant Ninja Turtles] [Foil],53932872597876,NM,1.49,1.49
14953000501620,swamp-193-full-art-rooftop-basic-land-teenage-mutant-ninja-turtles-foil,Swamp [193] [Full Art] [Rooftop Basic Land] [Teenage Mutant Ninja Turtles] [Foil],53932872630644,PL,0.00,
14952999879028,raphael-tough-turtle-104-teenage-mutant-ninja-turtles-foil,"Raphael, Tough Turtle [104] [Teenage Mutant Ninja Turtles] [Foil]",53932871549300,NM,0.99,0.99
14952999879028,raphael-tough-turtle-104-teenage-mutant-ninja-turtles-foil,"Raphael, Tough Turtle [104] [Teenage Mutant Ninja Turtles] [Foil]",53932871582068,PL,0.00,
14952999846260,spicy-oatmeal-pizza-109-teenage-mutant-ninja-turtles-foil,Spicy Oatmeal Pizza [109] [Teenage Mutant Ninja Turtles] [Foil],53932871483764,NM,0.49,0.49
14952999846260,spicy-oatmeal-pizza-109-teenage-mutant-ninja-turtles-foil,Spicy Oatmeal Pizza [109] [Teenage Mutant Ninja Turtles] [Foil],53932871516532,PL,0.00,
14928460775796,splinters-technique-80-teenage-mutant-ninja-turtles-non-foil,Splinter's Technique [80] [Teenage Mutant Ninja Turtles] [Non-Foil],53880822202740,NM,12.99,12.99
14928460775796,splinters-technique-80-teenage-mutant-ninja-turtles-non-foil,Splinter's Technique [80] [Teenage Mutant Ninja Turtles] [Non-Foil],53880822235508,PL,0.00,
14928460546420,splinters-technique-80-teenage-mutant-ninja-turtles-foil,Splinter's Technique [80] [Teenage Mutant Ninja Turtles] [Foil],53880821907828,NM,14.99,14.99
14928460546420,splinters-technique-80-teenage-mutant-ninja-turtles-foil,Splinter's Technique [80] [Teenage Mutant Ninja Turtles] [Foil],53880821940596,PL,0.00,
14928460513652,south-wind-avatar-78-teenage-mutant-ninja-turtles-foil,South Wind Avatar [78] [Teenage Mutant Ninja Turtles] [Foil],53880821842292,NM,6.99,6.99
14928460513652,south-wind-avatar-78-teenage-mutant-ninja-turtles-foil,South Wind Avatar [78] [Teenage Mutant Ninja Turtles] [Foil],53880821875060,PL,0.00,
14928460349812,rat-king-verminister-71-teenage-mutant-ninja-turtles-foil,"Rat King, Verminister [71] [Teenage Mutant Ninja Turtles] [Foil]",53880821580148,NM,4.99,4.99
14928460349812,rat-king-verminister-71-teenage-mutant-ninja-turtles-foil,"Rat King, Verminister [71] [Teenage Mutant Ninja Turtles] [Foil]",53880821612916,PL,0.00,
14928460317044,rat-king-verminister-71-teenage-mutant-ninja-turtles-non-foil,"Rat King, Verminister [71] [Teenage Mutant Ninja Turtles] [Non-Foil]",53880821514612,NM,3.99,3.99
14928460317044,rat-king-verminister-71-teenage-mutant-ninja-turtles-non-foil,"Rat King, Verminister [71] [Teenage Mutant Ninja Turtles] [Non-Foil]",53880821547380,PL,0.00,
