product_id,title,handle,vendor,product_type,tags,created_at,published_at,product_url,image_url,variant_id,variant_title,sku,option1,option2,option3,price,compare_at_price,available,inventory_management,weight
14928459956596,The Cloning of Shredder [60] [Teenage Mutant Ninja Turtles] [Non-Foil],the-cloning-of-shredder-60-teenage-mutant-ninja-turtles-non-foil,Magic,Singles,,2026-02-03T16:48:42-05:00,2026-02-18T12:20:23-05:00,https://facetofacegames.com/products/the-cloning-of-shredder-60-teenage-mutant-ninja-turtles-non-foil,https://cdn.shopify.com/s/files/1/0574/4692/4324/files/005cbed1ac7931f609a629294ddf95307e20b1af_Asset_SIN_MTG_TMT_60_ENG_NF.jpg?v=1770155312,53880820826484,PL,SIN-MTG-TMT-60-ENG-PL-NF,PL,,,0.00,,False,,
14928458023284,Technodrome [179] [Teenage Mutant Ninja Turtles] [Foil],technodrome-179-teenage-mutant-ninja-turtles-foil,Magic,Singles,,2026-02-03T16:48:27-05:00,2026-02-18T12:20:23-05:00,https://facetofacegames.com/products/technodrome-179-teenage-mutant-ninja-turtles-foil,https://cdn.shopify.com/s/files/1/0574/4692/4324/files/a19131e960f9c6d4b777a2d03ab3553d2b149ddf_Asset_SIN_MTG_TMT_179_ENG_F.jpg?v=1770155294,53880817058164,NM,SIN-MTG-TMT-179-ENG-NM-F,NM,,,24.99,24.99,True,,
14928458023284,Technodrome [179] [Teenage Mutant Ninja Turtles] [Foil],technodrome-179-teenage-mutant-ninja-turtles-foil,Magic,Singles,,2026-02-03T16:48:27-05:00,2026-02-18T12:20:23-05:00,https://facetofacegames.com/products/technodrome-179-teenage-mutant-ninja-turtles-foil,https://cdn.shopify.com/s/files/1/0574/4692/4324/files/a19131e960f9c6d4b777a2d03ab3553d2b149ddf_Asset_SIN_MTG_TMT_179_ENG_F.jpg?v=1770155294,53880817090932,PL,SIN-MTG-TMT-179-ENG-PL-F,PL,,,0.00,,False,,
14928457990516,The Ooze [177] [Teenage Mutant Ninja Turtles] [Non-Foil],the-ooze-177-teenage-mutant-ninja-turtles-non-foil,Magic,Singles,,2026-02-03T16:48:27-05:00,2026-02-18T12:20:23-05:00,https://facetofacegames.com/products/the-ooze-177-teenage-mutant-ninja-turtles-non-foil,https://cdn.shopify.com/s/files/1/0574/4692/4324/files/55a7ca01cf87ed60a1ccf7b936b7adb3b277af4d_Asset_SIN_MTG_TMT_177_ENG_NF.jpg?v=1770155295,53880816992628,NM,SIN-MTG-TMT-177-ENG-NM-NF,NM,,,5.99,5.99,True,,
14928457990516,The Ooze [177] [Teenage Mutant Ninja Turtles] [Non-Foil],the-ooze-177-teenage-mutant-ninja-turtles-non-foil,Magic,Singles,,2026-02-03T16:48:27-05:00,2026-02-18T12:20:23-05:00,https://facetofacegames.com/products/the-ooze-177-teenage-mutant-ninja-turtles-non-foil,https://cdn.shopify.com/s/files/1/0574/4692/4324/files/55a7ca01cf87ed60a1ccf7b936b7adb3b277af4d_Asset_SIN_MTG_TMT_177_ENG_NF.jpg?v=1770155295,53880817025396,PL,SIN-MTG-TMT-177-ENG-PL-NF,PL,,,0.00,,False,,
14928457957748,Technodrome [179] [Teenage Mutant Ninja Turtles] [Non-Foil],technodrome-179-teenage-mutant-ninja-turtles-non-foil,Magic,Singles,,2026-02-03T16:48:27-05:00,2026-02-18T12:20:23-05:00,https://facetofacegames.com/products/technodrome-179-teenage-mutant-ninja-turtles-non-foil,https://cdn.shopify.com/s/files/1/0574/4692/4324/files/403f8921b4f3812b14e58522b3ac81c177e52dd5_Asset_SIN_MTG_TMT_179_ENG_NF.jpg?v=1770155295,53880816927092,NM,SIN-MTG-TMT-179-ENG-NM-NF,NM,,,19.99,19.99,True,,
14928457957748,Technodrome [179] [Teenage Mutant Ninja Turtles] [Non-Foil],technodrome-179-teenage-mutant-ninja-turtles-non-foil,Magic,Singles,,2026-02-03T16:48:27-05:00,2026-02-18T12:20:23-05:00,https://facetofacegames.com/products/technodrome-179-teenage-mutant-ninja-turtles-non-foil,https://cdn.shopify.com/s/files/1/0574/4692/4324/files/403f8921b4f3812b14e58522b3ac81c177e52dd5_Asset_SIN_MTG_TMT_179_ENG_NF.jpg?v=1770155295,53880816959860,PL,SIN-MTG-TMT-179-ENG-PL-NF,PL,,,0.00,,False,,
14928457924980,The Ooze [177] [Teenage Mutant Ninja Turtles] [Foil],the-ooze-177-teenage-mutant-ninja-turtles-foil,Magic,Singles,,2026-02-03T16:48:27-05:00,2026-02-18T12:20:23-05:00,https://facetofacegames.com/products/the-ooze-177-teenage-mutant-ninja-turtles-foil,https://cdn.shopify.com/s/files/1/0574/4692/4324/files/80991e5ba1613e027f2ede8af5212970c5e2eb77_Asset_SIN_MTG_TMT_177_ENG_F.jpg?v=1770155294,53880816861556,NM,SIN-MTG-TMT-177-ENG-NM-F,NM,,,7.99,7.99,True,,
14928457924980,The Ooze [177] [Teenage Mutant Ninja Turtles] [Foil],the-ooze-177-teenage-mutant-ninja-turtles-foil,Magic,Singles,,2026-02-03T16:48:27-05:00,2026-02-18T12:20:23-05:00,https://facetofacegames.com/products/the-ooze-177-teenage-mutant-ninja-turtles-foil,https://cdn.shopify.com/s/files/1/0574/4692/4324/files/80991e5ba1613e027f2ede8af5212970c5e2eb77_Asset_SIN_MTG_TMT_177_ENG_F.jpg?v=1770155294,53880816894324,PL,SIN-MTG-TMT-177-ENG-PL-F,PL,,,0.00,,False,,
14928457204084,The Last Ronin [154] [Teenage Mutant Ninja Turtles] [Non-Foil],the-last-ronin-154-teenage-mutant-ninja-turtles-non-foil,Magic,Singles,,2026-02-03T16:48:25-05:00,2026-02-18T12:20:23-05:00,https://facetofacegames.com/products/the-last-ronin-154-teenage-mutant-ninja-turtles-non-foil,https://cdn.shopify.com/s/files/1/0574/4692/4324/files/4a93b4f8cdb408981ddb350d5c14e0e4929b6779_Asset_SIN_MTG_TMT_154_ENG_NF.jpg?v=1770155288,53880815354228,NM,SIN-MTG-TMT-154-ENG-NM-NF,NM,,,5.99,5.99,True,,
